Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Invoice #	Date	Customer PO	Ship Via	Delivery Status	Description	Account #	Amount	Inc-Tax Amount	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Non-GST Amount	GST Amount	LCT Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight LCT Amount	Sale Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Expiry Date	Authorisation Code	BSB	Account Number	Drawer/Account Name	Cheque Number	Category	Card ID	Record ID
Department of Justice and Regulation- IMT		Department of Justice and Regulation- IMT	CORRECTIONS VICTORIA	MIDDLETON - Middleton Industries Deliveries	Matheson Rd,		00011812	15/03/2017	235796	VicFreight	A	Plastic film 156*70um 172kg @ $6.56/KG	46000	$1,128.32	$1,241.15		1 skid for delivery 100kgs	Sale; Department of Justice and Regulation- IMT			15/03/2017		GST	$0.00	$112.83	$0.00	$762.00	$838.20	GST	$0.00	$76.20	$0.00	I			2	0	30	0	0	$0.00												*None	1120
Department of Justice and Regulation- IMT		Department of Justice and Regulation- IMT	CORRECTIONS VICTORIA	MIDDLETON - Middleton Industries Deliveries	Matheson Rd,		00011812	15/03/2017	235796	VicFreight	A	Printing Plate Eye Marks	46000	$75.00	$82.50		1 skid for delivery 100kgs	Sale; Department of Justice and Regulation- IMT			15/03/2017		GST	$0.00	$7.50	$0.00	$762.00	$838.20	GST	$0.00	$76.20	$0.00	I			2	0	30	0	0	$0.00												*None	1120
Department of Justice and Regulation- IMT		Department of Justice and Regulation- IMT	CORRECTIONS VICTORIA	MIDDLETON - Middleton Industries Deliveries	Matheson Rd,		00011812	15/03/2017	235796	VicFreight	A	CONNOTE # VFX 74952		$0.00	$0.00		1 skid for delivery 100kgs	Sale; Department of Justice and Regulation- IMT			15/03/2017			$0.00	$0.00	$0.00	$762.00	$838.20	GST	$0.00	$76.20	$0.00	I			2	0	30	0	0	$0.00												*None	1120

Australian Paper Recovery Pty Ltd		Australian Paper Recovery Pty Ltd	60-64 THOMAS MURRELL CRESCENT	DANDENONG SOUTH  VIC  3175		X	00009971	21/07/2016	JULY2016		E	OLD WHITE PAPER 2016	44100	$1,610.80	$1,771.88			Sale; Australian Paper Recovery Pty Ltd					GST	$0.00	$161.08	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,771.88	EFT											*None	1102

N2 Extreme Gelato PARIS		N2 Extreme Gelato PARIS	12 Rue Des Lombards	PARIS  75004	FRANCE		00009973	21/07/2016	PARIS		P	USD 3265.72  @ 0.74 =  AUD 4413.14	81100	$1,210.64	$1,210.64			Sale; N2 Extreme Gelato PARIS					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,210.64												EX010	1205
N2 Extreme Gelato PARIS		N2 Extreme Gelato PARIS	12 Rue Des Lombards	PARIS  75004	FRANCE		00009973	21/07/2016	PARIS		P	USD 3265.72 @ .7843 = AUD 4163.87 		$0.00	$0.00			Sale; N2 Extreme Gelato PARIS						$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,210.64												EX010	1205
N2 Extreme Gelato PARIS		N2 Extreme Gelato PARIS	12 Rue Des Lombards	PARIS  75004	FRANCE		00009973	21/07/2016	PARIS		P			$0.00	$0.00			Sale; N2 Extreme Gelato PARIS						$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,210.64												EX010	1205
N2 Extreme Gelato PARIS		N2 Extreme Gelato PARIS	12 Rue Des Lombards	PARIS  75004	FRANCE		00009973	21/07/2016	PARIS		P	PLEASE NOTE The variance are in Australian Dollars now.		$0.00	$0.00			Sale; N2 Extreme Gelato PARIS						$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,210.64												EX010	1205
N2 Extreme Gelato PARIS		N2 Extreme Gelato PARIS	12 Rue Des Lombards	PARIS  75004	FRANCE		00009973	21/07/2016	PARIS		P	This invoice relates to invoice 00009373		$0.00	$0.00			Sale; N2 Extreme Gelato PARIS						$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,210.64												EX010	1205

